Uniprot	02w33	02w01	02w26	02w17	02w41	02w09	10w25	10w33	10w09	10w41	10w17	10w03	02w18	10w11	02w02	10w04	02w28	10w18	10w34	02w42	10w42	10w28	02w34	02w10	02w20	10w05	10w13	02w27	10w19	02w11	10w35	10w26	10w43	02w43	02w03	02w35	02w29	10w06	10w36	02w44	02w21	10w22	02w12	10w44	10w27	02w04	02w36	10w15	02w37	10w30	02w13	02w31	10w45	10w37	02w05	10w14	10w23	02w45	02w23	10w07
A2AS89	912.9667969	845.6638794	1037.781616	874.6627808	856.5521851	776.4061279	1262.096924	1016.143555	1026.212036	971.7619629	803.7111816	950.5172119	868.5942993	967.9716187	973.6116943	1057.298462	1159.21875	885.7272339	1321.772827	1042.771851	1123.06897	1538.536865	949.2161865	773.6280518	894.9640503	1110.722534	1097.666748	1130.581055	1006.487671	789.8473511	1366.980347	1340.839355	1176.011719	1067.436523	957.440918	1231.467163	979.6203003	922.9317627	1045.541626	911.168335	729.3928223	987.7515259	782.7486572	1019.619751	1366.1073	1021.832336	921.3015137	844.5552368	934.7329102	1512.819702	847.5859375	1085.997925	1082.585083	1247.917114	953.5925903	915.4432373	1027.869629	922.0477905	901.8154907	949.3353271
A2ASZ8	94.42755127	58.5232048	83.6516037	86.07037354	77.2311554	80.46918488	111.7327271	80.60521698	64.62667847	72.73652649	92.52340698	66.60417938	97.56764984	96.36010742	152.8618164	84.96679688	148.745636	105.6116714	115.2803421	85.7861557	82.60324097	113.5771713	128.8457947	103.9224854	110.0724945	90.07802582	128.0130615	130.669342	105.0578232	103.1311188	88.70375824	117.5142288	83.24443817	125.5343323	100.4991455	137.9259186	95.53943634	86.66252136	101.1352844	101.1297607	96.72952271	108.3654404	112.6386032	88.45889282	114.9303284	109.9096909	112.0407028	84.40914154	106.5866623	103.3453751	80.02284241	118.9504471	78.02596283	95.38806152	78.42692566	116.6275482	89.22718811	95.96936035	96.39348602	94.05862427
A2ATU0	94.66348267	85.95954895	124.3060608	41.04090881	53.50718307	62.5580368	165.0174103	106.3551559	63.44248581	135.5855255	89.54933167	140.9629517	82.13834381	77.9626236	105.5156784	90.35416412	85.81328583	82.52321625	80.48426819	65.32071686	98.74925995	115.1746826	93.91261292	45.94459915	45.47386932	110.201973	76.69606018	116.6665192	47.7290535	54.46582413	104.3537369	116.2151413	121.0901871	89.59085083	66.69869232	53.46311188	118.9447021	117.6136703	113.9925995	78.24669647	24.439888	83.24268341	58.76587677	66.43948364	164.6086578	106.7449188	119.9646683	80.84443665	83.22974396	159.0771027	49.22469711	112.2873764	59.43268585	110.6266098	42.29726791	65.29862213	81.43637848	64.67437744	43.5208168	108.6740875
A6H611	84.70079803	74.07160187	87.22966003	78.64044952	79.65396881	99.39668274	99.20528412	105.8424225	92.47407532	104.1031113	94.18742371	84.5997467	77.97454834	88.45303345	76.3986969	85.21331787	77.06758118	78.59580231	83.63742065	87.98688507	119.7305756	103.7409363	87.84020233	91.87940216	69.43675995	70.2924118	64.84700775	64.34561157	68.40155029	74.71818542	75.86321259	78.83898926	89.86087799	68.90180206	64.08375549	63.939888	76.2882843	94.45961761	86.32290649	89.52301025	66.99608612	83.32862854	80.1370697	102.2581787	103.783989	100.8503723	73.03429413	88.81203461	71.70905304	86.77305603	64.8026886	71.13052368	87.04815674	86.36081696	67.74033356	75.31285095	74.89559937	77.68404388	60.07940674	69.55162048
ALBU_BOVIN	3676.458008	3967.476074	3748.649902	4056.494141	4256.584961	5480.322266	2254.214844	2255.643311	3211.050781	3610.188232	2309.364502	3096.866211	2916.908447	2580.652344	3027.130859	3896.354736	4238.143555	3392.43335	2549.536377	4409.76416	2344.277832	5183.556641	3755.908936	3729.660156	4326.615723	4750.312012	3415.364746	2977.690918	3458.265381	7156.267578	1563.095093	2444.504883	1716.854858	3790.126465	4382.48584	4999.87207	1910.972168	3142.644775	2747.815918	4215.004395	2969.234863	4247.868652	4324.272461	2132.075439	1749.741211	2736.408203	2142.005371	2185.593994	1713.225464	4970.783691	1921.456055	2451.536865	2831.112305	2854.236816	2623.937988	4196.321289	3782.038086	2455.136963	2981.125244	2621.324219
ALDOA_RABIT;P05064	136.766922	125.002388	114.3266907	132.1068878	145.8565674	121.6782684	64.36750031	86.62103271	130.5871887	97.28913879	109.4306335	89.59667206	135.5756531	109.9046402	133.5767365	115.7741089	99.19595337	116.3819427	65.85965729	113.5821686	87.70475769	85.27345276	130.8476868	138.2878265	115.6142044	115.1182632	107.4544144	101.0189133	128.4706268	117.596756	81.98034668	77.96759033	100.4992523	115.1072083	116.6469345	114.8225784	115.3721771	89.82901001	75.42331696	100.8825836	173.1212921	120.6597443	189.0355225	100.7595139	86.47616577	89.93647766	99.68907928	128.0003815	125.821701	79.07194519	159.4256287	112.7658539	101.1670685	86.01283264	169.050766	130.4732056	117.7599335	167.3630676	156.0117188	132.4815369
B7ZMP1	129.8031006	119.5262985	124.2627182	159.9909973	134.6126556	141.5136108	193.7877045	134.9230499	120.7684631	128.2634583	160.3116455	152.884903	162.0996399	147.9933014	174.9751587	150.8556213	77.92610931	139.7437134	175.0967407	158.8729248	125.1612167	161.3462524	131.6330566	140.2246094	160.5723572	175.9992828	154.3586426	181.7815857	123.1555862	107.4038162	149.6273499	212.2602539	115.0599136	115.9764709	158.5778656	82.14202118	160.2804565	171.2696228	170.5780334	152.8999329	146.5155334	142.1065674	123.6523056	148.6851349	179.8737335	181.9927673	164.8346863	115.4028549	159.7706757	202.3340302	144.8721466	166.9607697	131.4438171	153.4052124	151.5253906	146.1980896	138.9509888	160.5610657	156.8777771	167.3384857
CON__P01966	487.2156677	322.1796875	561.5070801	360.6485596	297.3467102	309.2612915	188.8955383	156.506958	199.2181396	343.1385498	265.2189636	207.8526154	366.0384216	184.8213196	335.1434326	289.9157715	3032.60791	277.1388245	117.1975632	375.2729797	233.6667328	193.1885834	361.9855042	452.8748474	581.7102051	211.9279785	330.8059692	2692.192871	314.3426514	4267.567383	109.6018677	180.9881592	186.989563	5796.824219	2511.56958	706.8035278	844.6729736	208.6618195	179.2962494	2554.29834	1000.669434	441.4429932	2467.91333	221.6747894	229.2430725	18591.06836	21039.36719	316.3653259	19542.07617	231.8556519	584.8777466	3845.492676	423.5994873	125.9930954	714.2131958	322.3536377	238.1182098	972.9243774	5916.694824	265.5133057
CYB5_HUMAN;P56395	618.5558472	729.6881104	650.7658691	631.9870605	713.1480713	702.7462158	492.1365967	563.508667	610.8393555	555.5390625	690.2384033	714.5061035	609.7906494	614.0612183	598.2753296	771.4818115	689.0664673	707.1425781	619.0648193	649.8057251	580.9588623	555.2501221	714.6412354	745.4255981	636.2033691	722.1092529	580.1898193	675.612793	704.8618774	792.9503174	523.9046021	600.8151855	608.2886963	622.7799072	735.4621582	702.5307007	861.5024414	660.0703735	516.9814453	676.9238892	887.357605	617.4841309	653.9271851	501.0597534	569.0893555	645.5028687	519.8800659	618.6350708	818.793457	559.6947632	942.4122925	735.472229	774.1897583	533.2180786	1007.032776	599.3314209	637.3641968	899.0048218	789.2333374	809.5704956
E9PV24	189.5144196	195.5543976	131.0026398	175.4651184	184.3140259	142.1821899	135.3498993	41.24825668	60.1775322	158.3724823	119.2734833	70.95358276	163.514328	153.0187836	232.928894	144.1477203	135.6948395	116.1779633	131.5606384	167.9119415	132.9053955	177.0710907	186.1034393	106.5304413	114.5305405	122.497612	112.1086044	127.8769913	115.9573975	122.618309	42.23603821	132.8708649	69.4187088	107.6751404	133.9465485	107.0704956	180.4755249	138.8647003	86.9192276	190.9952087	139.2743835	125.0245667	163.3143311	165.7606354	109.3489609	149.2204132	176.459549	121.0070496	194.3956757	193.6290588	146.7476196	168.8887939	104.9006424	91.26396179	171.0655975	125.9232407	134.8679657	203.3299713	111.4692459	139.2774048
