Protein	X10_pain.Area	X11_pain.Area	X12_pain.Area	X1_pain.Area	X2_pain.Area	X3_pain.Area	X5_pain.Area	X6_pain.Area	X7_pain.Area	X8_pain.Area	X9_pain.Area	X10_OC.Area	X11_OC.Area	X12_OC.Area	X1_OC.Area	X2_OC.Area	X3_OC.Area	X4_OC.Area	X5_OC.Area	X6_OC.Area	X8_OC.Area	X9_OC.Area	X10_UTI.Area	X11_UTI.Area	X1_UTI.Area	X2_UTI.Area	X3_UTI.Area	X4_UTI.Area	X5_UTI.Area	X6_UTI.Area	X7_UTI.Area	X8_UTI.Area	X9_UTI.Area	nFragment	nPeptide
A0A075	2.97066e+009	9.43665e+008	6.4865e+008	2.26498e+009	6.01002e+009	9.22463e+008	4.50706e+008	9.84741e+008	3.04497e+008	5.91581e+008	1.63233e+009	3.00151e+008	5.91436e+008	5.97821e+008	2.1339e+009	7.01535e+008	2.04124e+009	5.443e+007	2.89566e+008	9.28578e+008	3.16732e+008	4.49568e+008	2.02913e+009	1.48879e+009	6.97386e+008	1.09472e+009	1.12764e+009	4.22367e+008	2.73501e+008	6.56726e+008	2.21386e+009	1.30986e+009	2.58793e+008	65	5
A0A0A0	2.93861e+007	9.34465e+006	1.91096e+007	1.04857e+008	2.40656e+007	2.22546e+007	2.8514e+007	3.28649e+007	4.76716e+006	1.18475e+007	2.12265e+007	2.09228e+007	2.76413e+007	2.28888e+007	5.20074e+007	1.86336e+007	4.37387e+007	0	5.65047e+006	1.27082e+007	1.237e+007	4.24171e+007	3.8657e+007	1.3947e+008	1.00575e+008	2.34128e+007	1.10791e+008	6.32897e+006	7.87571e+007	4.41317e+007	7.41952e+007	4.75407e+007	3.42753e+007	24	2
A0A0B4	3.63766e+008	2.13034e+008	1.9869e+008	7.59896e+008	6.7961e+008	4.5129e+008	3.69838e+008	3.16356e+008	2.49991e+008	2.34222e+008	3.99273e+008	4.38644e+008	5.8297e+008	4.60015e+008	8.08941e+008	3.10576e+008	7.24896e+008	7.99044e+007	2.18643e+008	2.5137e+008	2.73072e+008	4.10076e+008	9.00167e+008	8.26544e+008	5.22664e+008	4.96906e+008	1.18855e+009	2.25839e+008	4.97861e+008	6.46203e+008	8.25543e+008	7.15954e+008	2.09466e+008	37	5
A0A0C4	3.73476e+009	6.3869e+008	7.47163e+008	1.49133e+009	4.98609e+009	7.24275e+008	5.53302e+008	8.09102e+008	2.62138e+008	3.91474e+008	7.02791e+008	4.22202e+008	4.0099e+008	4.64756e+008	1.00252e+009	6.55163e+008	1.33834e+009	8.31219e+008	3.98855e+008	7.91621e+008	3.9798e+008	2.93443e+008	9.65578e+008	1.11884e+009	4.59099e+008	1.04385e+009	5.5923e+008	6.60172e+008	2.75916e+008	1.72559e+008	1.45716e+009	4.93687e+008	3.18404e+008	63	5
A0A5B9	566474	4.73206e+006	1.61396e+006	1.57908e+006	1.66582e+006	389519	459363	131190	346461	566918	643759	1.5701e+006	200033	75843.3	357262	298078	192772	543173	259042	46254.1	507976	705614	1.01199e+006	8.80867e+006	187779	2.43335e+006	68874	597891	786806	740490	1.57691e+006	1.35793e+006	1.65222e+006	12	1
A0AV96	2.02173e+006	799580	1.09453e+007	803519	2.18297e+006	1.29763e+006	1.76086e+006	93427.5	9.84979e+006	3.61469e+006	5.13078e+006	422172	6.40179e+006	5.00975e+006	1.65815e+006	1.70824e+006	4.26417e+006	843489	1.75961e+007	5.37454e+006	1.08624e+007	3.87036e+006	4.90962e+006	1.44164e+007	6.10225e+006	3.94982e+006	9.13383e+006	5.71086e+006	5.90804e+006	3.46565e+006	997996	349104	4.13406e+006	13	1
A0M8Q6	2.946e+009	2.12362e+008	3.57882e+008	1.03461e+009	1.99868e+009	8.09555e+008	6.96289e+008	9.61789e+008	8.2356e+008	2.06736e+009	1.58927e+009	3.64127e+008	4.82647e+008	5.81001e+008	5.30809e+008	4.1872e+008	5.27834e+008	5.61867e+007	6.53695e+008	1.19879e+009	6.97536e+008	8.73413e+008	9.45543e+008	1.17913e+009	4.0365e+008	9.66723e+008	6.02799e+008	6.89532e+008	2.72612e+008	6.86555e+008	1.0265e+009	4.53015e+008	3.05686e+008	57	5
A0PJK1	61514.4	3.6747e+006	9.11771e+006	1.18963e+007	2.66041e+006	713234	2.22737e+007	8.07194e+006	1.09645e+006	953390	201454	57968.7	3.88051e+006	9.9421e+006	3.95446e+006	2.89988e+006	3.15353e+006	1.66184e+006	2.8038e+006	664858	1.02322e+006	723029	788379	295757	35773.1	1.26935e+006	938269	1.96338e+007	945769	720327	1.53475e+007	4.80418e+006	9.31136e+006	13	1
A4UGR9	2.94163e+007	3.87549e+006	4.96404e+008	3.0349e+008	5.78839e+008	4.95328e+008	2.00458e+008	7.28706e+007	4.05832e+007	1.40952e+008	1.71626e+008	6.65997e+008	3.39037e+008	1.66572e+008	4.23185e+007	5.49791e+007	1.11838e+008	4.03566e+006	1.29394e+008	1.3123e+008	2.46386e+008	1.61653e+009	1.58601e+008	5.27521e+008	3.38844e+008	1.12443e+008	4.35754e+008	2.3149e+008	1.00146e+008	656824	1.66945e+009	1.07798e+009	7.16618e+006	13	1
A5A3E0	2.54644e+009	4.82793e+009	1.63858e+009	3.17053e+009	1.57438e+009	4.41889e+008	1.67523e+009	8.76516e+008	4.21282e+009	7.46043e+008	5.89266e+008	1.49235e+009	7.78074e+009	3.86075e+009	4.89904e+009	2.57061e+009	4.21796e+009	2.73816e+009	2.88755e+009	1.48867e+009	1.34932e+009	4.96279e+009	8.09152e+009	2.55107e+009	7.64304e+009	2.40228e+009	1.08458e+009	9.39537e+009	8.67853e+009	7.94433e+008	6.05225e+009	3.02628e+009	1.23597e+009	65	5
A6NGN9	17582.3	3.41505e+006	4.87843e+006	3.85058e+006	2.31736e+006	186831	8.45224e+006	4.18092e+006	8100.12	1.75177e+006	119401	3.34025e+006	832810	1.39279e+006	75401.4	1.45185e+006	1.04933e+006	1.4185e+006	0	464741	82603.9	1.03856e+006	82720.7	3.91222e+006	97093.8	1.10653e+007	5225.25	671991	572826	586251	115445	15987.2	1.3073e+007	12	1
A6NGU5	3.82618e+008	6.99232e+008	5.10775e+008	7.87411e+008	4.27469e+008	2.46134e+008	4.23533e+008	4.9321e+008	6.23853e+007	3.48746e+008	1.17839e+008	5.0978e+008	5.60509e+008	4.99851e+008	5.41576e+008	5.53247e+008	4.43301e+008	9.77888e+007	2.22331e+008	1.97663e+008	2.11245e+008	5.98979e+008	3.57849e+008	2.42537e+008	3.29135e+008	4.50913e+008	2.40569e+008	1.03989e+008	4.27023e+008	1.94038e+008	3.14349e+008	2.8679e+008	4.13974e+008	60	5
